Shotgun,Run,Yards Gained,Team,Home,Note
1,0,3,Bears,1,
1,1,3,Bears,1,
1,0,6,Bears,1,
1,1,6,Bears,1,
1,0,0,Bears,1,incomplete
1,0,0,Bears,1,holding
0,1,1,Bears,1,
1,0,8,Bears,1,
0,1,0,Bears,1,
0,1,1,Bears,1,
1,0,9,Bears,1,
1,1,3,Bears,1,
1,0,25,Bears,1,
0,1,-5,Bears,1,false start
1,0,-4,Bears,1,fumble
1,0,10,Bears,1,touchdown
0,0,0,Vikings,0,incomplete
0,1,2,Vikings,0,
1,0,13,Vikings,0,
0,1,1,Vikings,0,
0,0,7,Vikings,0,
0,0,5,Vikings,0,
0,1,0,Vikings,0,
0,1,0,Vikings,0,
1,0,0,Vikings,0,incomplete
1,1,3,Bears,1,
1,0,13,Bears,1,
1,1,4,Bears,1,
1,0,-10,Bears,1,offensive interference
1,0,9,Bears,1,
1,1,8,Cardinals,1,
1,1,5,Cardinals,1,
1,0,-5,Cardinals,1,
1,0,7,Cardinals,1,
1,0,15,Cardinals,1,
1,0,6,Cardinals,1,
1,1,6,Cardinals,1,
1,1,5,Cardinals,1,
1,0,1,Cardinals,1,
1,0,0,Cardinals,1,
0,0,8,Seahawks,0,
1,1,-1,Seahawks,0,
1,0,8,Seahawks,0,
1,0,6,Seahawks,0,
0,1,8,Seahawks,0,
1,1,5,Seahawks,0,
1,0,17,Seahawks,0,
0,0,0,Seahawks,0,
1,0,0,Seahawks,0,
1,0,0,Seahawks,0,
1,1,5,Cardinals,1,
1,0,-27,Cardinals,1,interception
0,1,-5,Cardinals,1,holding
1,1,4,Cardinals,1,
1,0,2,Cardinals,1,
1,0,10,Cardinals,1,
0,1,6,Cardinals,1,
1,0,6,Cardinals,1,
1,1,0,Cardinals,1,
1,0,31,Cardinals,1,
0,1,2,Seahawks,1,
1,0,2,Seahawks,1,holding
1,0,0,Seahawks,1,fumble
0,1,9,Rams,0,
0,1,-5,Rams,0,
1,0,0,Rams,0,
1,0,0,Seahawks,1,
1,0,4,Seahawks,1,
1,1,6,Seahawks,1,
1,1,-3,Seahawks,1,
1,0,0,Seahawks,1,
1,0,8,Seahawks,1,
0,1,3,Rams,0,
0,0,22,Rams,0,
0,0,2,Rams,0,
0,1,12,Rams,0,
0,1,8,Rams,0,
0,1,5,Rams,0,
0,1,1,Rams,0,
0,1,3,Rams,0,
1,0,0,Rams,0,
0,1,5,Seahawks,1,
1,0,15,Seahawks,1,
1,0,5,Seahawks,1,
1,1,5,Seahawks,1,
0,1,-3,Seahawks,1,
1,0,34,Seahawks,1,
0,0,17,Seahawks,1,
0,0,0,Rams,0,
1,0,0,Rams,0,
1,0,0,Rams,0,
0,1,8,Seahawks,1,
1,0,7,Cowboys,0,
1,1,5,Cowboys,0,
1,0,10,Cowboys,0,
0,1,0,Cowboys,0,
0,0,0,Cowboys,0,
1,0,0,Cowboys,0,
1,0,6,Saints,1,
0,0,0,Saints,1,
1,0,18,Saints,1,
0,1,2,Saints,1,
1,0,5,Saints,1,
1,0,0,Saints,1,Interception
1,2,6,Cowboys,0,
1,1,2,Cowboys,0,
1,0,3,Cowboys,0,
0,1,1,Cowboys,0,
1,0,12,Cowboys,0,
0,1,1,Cowboys,0,
1,0,0,Cowboys,0,
1,0,0,Cowboys,0,FG
0,1,2,Saints,1,
1,1,13,Saints,1,
1,1,18,Saints,1,
0,1,0,Saints,1,
1,1,10,Saints,1,
1,0,3,Saints,1,
0,0,-10,Saints,1,
1,1,5,Saints,1,
0,1,4,Patriots,1,
0,0,19,Patriots,1,
0,1,21,Patriots,1,
0,0,7,Patriots,1,
0,1,2,Patriots,1,
0,1,0,Patriots,1,
1,0,9,Giants,0,
0,1,0,Giants,0,
1,0,0,Giants,0,
0,0,-7,Patriots,1,
1,0,7,Patriots,1,
1,0,6,Patriots,1,
1,0,0,Giants,0,Interception
0,0,0,Patriots,1,Interception
0,1,1,Giants,0,
0,1,4,Giants,0,
1,0,0,Giants,0,
0,0,0,Patriots,1,
0,1,1,Patriots,1,
1,0,20,Patriots,1,
0,1,1,Patriots,1,
1,0,0,Patriots,1,
1,0,11,Giants,0,
0,1,3,Giants,0,
1,0,8,Giants,0,
